Loading tags started
Loading tags done!
Loading voteshares
Loading voteshare done
tag,map,p@1,p@5,p@10,topUser
multidimensional-array,0.48980863306068406,0.0,0.6,0.8,367456
drupal,0.6777507137057699,1.0,0.8,0.7,830680
http,0.5140752032520325,1.0,0.6,0.4,138475
soap,0.6791666666666667,0.0,0.8,0.4,1627406
pagination,0.41666666666666663,0.0,0.4,0.2,1726511
string,0.4371579774983648,1.0,1.0,0.7,50079
session,0.4719903663538797,1.0,0.8,0.8,118068
android,0.3151205372218898,1.0,0.4,0.4,1202025
laravel-4,0.7341112874421405,1.0,1.0,1.0,1959747
jquery,0.47370716837750926,1.0,0.8,0.8,114251
sql,0.5402379764819166,1.0,1.0,0.9,1144035
foreach,0.2518573340578938,0.0,0.6,0.4,118068
database,0.062489891275307734,0.0,0.4,0.3,285587
phpmyadmin,0.2216049382716049,0.0,0.4,0.2,2693568
security,0.23473641977600485,0.0,0.6,0.5,183528
codeigniter,0.5102024743812571,1.0,1.0,0.7,594509
linux,0.6154970933786093,1.0,1.0,0.6,367456
preg-match,0.5339567110553493,1.0,0.8,0.8,20670
sorting,0.6702924695385521,1.0,1.0,0.9,476
zend-framework,0.6624291768897365,1.0,1.0,0.9,208809
doctrine2,0.8121998564056498,1.0,1.0,0.9,347063
mysqli,0.578215144250851,0.0,0.6,0.8,285587
json,0.656246126566506,0.0,0.6,0.8,19068
class,0.8337531247456517,1.0,1.0,1.0,476
gd,0.8124908424908425,1.0,0.8,0.7,187606
mongodb,0.7765395265315993,1.0,1.0,0.9,162228
.htaccess,0.8375409402527596,1.0,1.0,1.0,548225
authentication,0.20647969530593063,1.0,0.2,0.1,476
magento,0.6260855422603095,1.0,1.0,0.8,4668
rest,0.5185185185185185,1.0,0.2,0.1,476
cakephp,0.7133518286121225,1.0,1.0,1.0,171209
preg-replace,0.6729249525182749,1.0,1.0,0.9,507674
mod-rewrite,0.4615548587400828,1.0,1.0,1.0,851273
pdf,0.8055555555555555,1.0,0.6,0.3,359307
performance,0.5608499987634583,1.0,0.8,0.5,187606
pdo,0.7689086611786665,0.0,0.8,0.9,285587
forms,0.3746978623688021,1.0,0.6,0.7,1415724
Avg Map = 0.5261372954263899
